Event,Desc
UNC_H_HITME_HIT_PV_BITS_SET.RSPFWDI_REMOTE,Accumulates Number of PV bits set on HitMe Cache Hits; op is RspIFwd or RspIFwdWb for a remote request
UNC_H_HITME_HIT_PV_BITS_SET.RSPFWDS,Accumulates Number of PV bits set on HitMe Cache Hits; op is RsSFwd or RspSFwdWb
UNC_H_HITME_HIT_PV_BITS_SET.WBMTOE_OR_S,Accumulates Number of PV bits set on HitMe Cache Hits; op is WbMtoE or WbMtoS
UNC_H_HITME_HIT_PV_BITS_SET.WBMTOI,Accumulates Number of PV bits set on HitMe Cache Hits; op is WbMtoI
UNC_H_HITME_LOOKUP.ACKCNFLTWBI,Counts Number of times HitMe Cache is accessed; op is AckCnfltWbI
UNC_H_HITME_LOOKUP.ALL,Counts Number of times HitMe Cache is accessed; All Requests
UNC_H_HITME_LOOKUP.ALLOCS,Counts Number of times HitMe Cache is accessed; Allocations
UNC_H_HITME_LOOKUP.HOM,Counts Number of times HitMe Cache is accessed; HOM Requests
UNC_H_HITME_LOOKUP.INVALS,Counts Number of times HitMe Cache is accessed; Invalidations
UNC_H_HITME_LOOKUP.READ_OR_INVITOE,"Counts Number of times HitMe Cache is accessed; op is RdCode, RdData, RdDataMigratory, RdInvOwn, RdCur or InvItoE"
UNC_H_HITME_LOOKUP.RSP,"Counts Number of times HitMe Cache is accessed; op is RspI, RspIWb, RspS, RspSWb, RspCnflt or RspCnfltWbI"
UNC_H_HITME_LOOKUP.RSPFWDI_LOCAL,Counts Number of times HitMe Cache is accessed; op is RspIFwd or RspIFwdWb for a local request
UNC_H_HITME_LOOKUP.RSPFWDI_REMOTE,Counts Number of times HitMe Cache is accessed; op is RspIFwd or RspIFwdWb for a remote request
UNC_H_HITME_LOOKUP.RSPFWDS,Counts Number of times HitMe Cache is accessed; op is RsSFwd or RspSFwdWb
UNC_H_HITME_LOOKUP.WBMTOE_OR_S,Counts Number of times HitMe Cache is accessed; op is WbMtoE or WbMtoS
UNC_H_HITME_LOOKUP.WBMTOI,Counts Number of times HitMe Cache is accessed; op is WbMtoI
UNC_H_IGR_NO_CREDIT_CYCLES.AD_QPI0,Counts the number of cycles when the HA does not have credits to send messages to the QPI Agent.  This can be filtered by the different credit pools and the different links.
UNC_H_IGR_NO_CREDIT_CYCLES.AD_QPI1,Counts the number of cycles when the HA does not have credits to send messages to the QPI Agent.  This can be filtered by the different credit pools and the different links.
UNC_H_IGR_NO_CREDIT_CYCLES.AD_QPI2,Counts the number of cycles when the HA does not have credits to send messages to the QPI Agent.  This can be filtered by the different credit pools and the different links.
UNC_H_IGR_NO_CREDIT_CYCLES.BL_QPI0,Counts the number of cycles when the HA does not have credits to send messages to the QPI Agent.  This can be filtered by the different credit pools and the different links.
UNC_H_IGR_NO_CREDIT_CYCLES.BL_QPI1,Counts the number of cycles when the HA does not have credits to send messages to the QPI Agent.  This can be filtered by the different credit pools and the different links.
UNC_H_IGR_NO_CREDIT_CYCLES.BL_QPI2,Counts the number of cycles when the HA does not have credits to send messages to the QPI Agent.  This can be filtered by the different credit pools and the different links.
UNC_H_IMC_READS.NORMAL,Count of the number of reads issued to any of the memory controller channels.  This can be filtered by the priority of the reads.
UNC_H_IMC_RETRY,Retry Events
UNC_H_IMC_WRITES.ALL,Counts the total number of full line writes issued from the HA into the memory controller.  This counts for all four channels.  It can be filtered by full/partial and ISOCH/non-ISOCH.
UNC_H_IMC_WRITES.FULL,Counts the total number of full line writes issued from the HA into the memory controller.  This counts for all four channels.  It can be filtered by full/partial and ISOCH/non-ISOCH.
UNC_H_IMC_WRITES.FULL_ISOCH,Counts the total number of full line writes issued from the HA into the memory controller.  This counts for all four channels.  It can be filtered by full/partial and ISOCH/non-ISOCH.
UNC_H_IMC_WRITES.PARTIAL,Counts the total number of full line writes issued from the HA into the memory controller.  This counts for all four channels.  It can be filtered by full/partial and ISOCH/non-ISOCH.
UNC_H_IMC_WRITES.PARTIAL_ISOCH,Counts the total number of full line writes issued from the HA into the memory controller.  This counts for all four channels.  It can be filtered by full/partial and ISOCH/non-ISOCH.
UNC_H_IOT_BACKPRESSURE.HUB,IOT Backpressure
UNC_H_IOT_BACKPRESSURE.SAT,IOT Backpressure
UNC_H_IOT_CTS_EAST_LO.CTS0,Debug Mask/Match Tie-Ins
UNC_H_IOT_CTS_EAST_LO.CTS1,Debug Mask/Match Tie-Ins
UNC_H_IOT_CTS_HI.CTS2,Debug Mask/Match Tie-Ins
UNC_H_IOT_CTS_HI.CTS3,Debug Mask/Match Tie-Ins
UNC_H_IOT_CTS_WEST_LO.CTS0,Debug Mask/Match Tie-Ins
UNC_H_IOT_CTS_WEST_LO.CTS1,Debug Mask/Match Tie-Ins
UNC_H_OSB.CANCELLED,"Count of OSB snoop broadcasts. Counts by 1 per request causing OSB snoops to be broadcast. Does not count all the snoops generated by OSB.; OSB Snoop broadcast cancelled due to D2C or Other. OSB cancel is counted when OSB local read is not allowed even when the transaction in local InItoE. It also counts D2C OSB cancel, but also includes the cases were D2C was not set in the first place for the transaction coming from the ring."
UNC_H_OSB.INVITOE_LOCAL,Count of OSB snoop broadcasts. Counts by 1 per request causing OSB snoops to be broadcast. Does not count all the snoops generated by OSB.
UNC_H_OSB.READS_LOCAL,Count of OSB snoop broadcasts. Counts by 1 per request causing OSB snoops to be broadcast. Does not count all the snoops generated by OSB.
UNC_H_OSB.READS_LOCAL_USEFUL,Count of OSB snoop broadcasts. Counts by 1 per request causing OSB snoops to be broadcast. Does not count all the snoops generated by OSB.
UNC_H_OSB.REMOTE,Count of OSB snoop broadcasts. Counts by 1 per request causing OSB snoops to be broadcast. Does not count all the snoops generated by OSB.
UNC_H_OSB.REMOTE_USEFUL,Count of OSB snoop broadcasts. Counts by 1 per request causing OSB snoops to be broadcast. Does not count all the snoops generated by OSB.
UNC_H_OSB_EDR.ALL,"Counts the number of transactions that broadcast snoop due to OSB, but found clean data in memory and was able to do early data return"
UNC_H_OSB_EDR.READS_LOCAL_I,"Counts the number of transactions that broadcast snoop due to OSB, but found clean data in memory and was able to do early data return"
UNC_H_OSB_EDR.READS_LOCAL_S,"Counts the number of transactions that broadcast snoop due to OSB, but found clean data in memory and was able to do early data return"
UNC_H_OSB_EDR.READS_REMOTE_I,"Counts the number of transactions that broadcast snoop due to OSB, but found clean data in memory and was able to do early data return"
UNC_H_OSB_EDR.READS_REMOTE_S,"Counts the number of transactions that broadcast snoop due to OSB, but found clean data in memory and was able to do early data return"
UNC_H_REQUESTS.INVITOE_LOCAL,"Counts the total number of read requests made into the Home Agent. Reads include all read opcodes (including RFO).  Writes include all writes (streaming, evictions, HitM, etc).; This filter includes only InvItoEs coming from the local socket."
UNC_H_REQUESTS.INVITOE_REMOTE,"Counts the total number of read requests made into the Home Agent. Reads include all read opcodes (including RFO).  Writes include all writes (streaming, evictions, HitM, etc).; This filter includes only InvItoEs coming from remote sockets."
UNC_H_REQUESTS.READS,"Counts the total number of read requests made into the Home Agent. Reads include all read opcodes (including RFO).  Writes include all writes (streaming, evictions, HitM, etc).; Incoming ead requests.  This is a good proxy for LLC Read Misses (including RFOs)."
UNC_H_REQUESTS.READS_LOCAL,"Counts the total number of read requests made into the Home Agent. Reads include all read opcodes (including RFO).  Writes include all writes (streaming, evictions, HitM, etc).; This filter includes only read requests coming from the local socket.  This is a good proxy for LLC Read Misses (including RFOs) from the local socket."
UNC_H_REQUESTS.READS_REMOTE,"Counts the total number of read requests made into the Home Agent. Reads include all read opcodes (including RFO).  Writes include all writes (streaming, evictions, HitM, etc).; This filter includes only read requests coming from the remote socket.  This is a good proxy for LLC Read Misses (including RFOs) from the remote socket."
UNC_H_REQUESTS.WRITES,"Counts the total number of read requests made into the Home Agent. Reads include all read opcodes (including RFO).  Writes include all writes (streaming, evictions, HitM, etc).; Incoming write requests."
UNC_H_REQUESTS.WRITES_LOCAL,"Counts the total number of read requests made into the Home Agent. Reads include all read opcodes (including RFO).  Writes include all writes (streaming, evictions, HitM, etc).; This filter includes only writes coming from the local socket."
UNC_H_REQUESTS.WRITES_REMOTE,"Counts the total number of read requests made into the Home Agent. Reads include all read opcodes (including RFO).  Writes include all writes (streaming, evictions, HitM, etc).; This filter includes only writes coming from remote sockets."
UNC_H_RING_AD_USED.CCW,"Counts the number of cycles that the AD ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop."
UNC_H_RING_AD_USED.CCW_EVEN,"Counts the number of cycles that the AD ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Counterclockwise and Even ring polarity."
UNC_H_RING_AD_USED.CCW_ODD,"Counts the number of cycles that the AD ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Counterclockwise and Odd ring polarity."
UNC_H_RING_AD_USED.CW,"Counts the number of cycles that the AD ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop."
UNC_H_RING_AD_USED.CW_EVEN,"Counts the number of cycles that the AD ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Clockwise and Even ring polarity."
UNC_H_RING_AD_USED.CW_ODD,"Counts the number of cycles that the AD ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Clockwise and Odd ring polarity."
UNC_H_RING_AK_USED.CCW,"Counts the number of cycles that the AK ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop."
UNC_H_RING_AK_USED.CCW_EVEN,"Counts the number of cycles that the AK ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Counterclockwise and Even ring polarity."
UNC_H_RING_AK_USED.CCW_ODD,"Counts the number of cycles that the AK ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Counterclockwise and Odd ring polarity."
UNC_H_RING_AK_USED.CW,"Counts the number of cycles that the AK ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop."
UNC_H_RING_AK_USED.CW_EVEN,"Counts the number of cycles that the AK ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Clockwise and Even ring polarity."
UNC_H_RING_AK_USED.CW_ODD,"Counts the number of cycles that the AK ring is being used at this ring stop.  This includes when packets are passing by and when packets are being sunk, but does not include when packets are being sent from the ring stop.; Filters for the Clockwise and Odd ring polarity."
